time/iterations,train/entropy_coef,time/total_timesteps,train/clip_range,time/fps,train/learning_rate,time/time_elapsed,train/n_updates,train/value_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/policy_gradient_loss,train/std,train/loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
109,0.01553536,223232,0.2,1543,0.0003,144,1080,0.017175491515081374,0.010646352,0.126025390625,0.9786951076239347,-0.018884011966292746,1.5995290279388428,-0.2052910029888153,-11.156754717230797,,
110,0.0154944,225280,0.2,1544,0.0003,145,1090,0.01902071713702753,0.011417253,0.128369140625,0.9773761015385389,-0.019922147010220215,1.61570143699646,-0.1748942881822586,-11.199412900209428,,
111,0.01545344,227328,0.2,1545,0.0003,147,1100,0.02080940161831677,0.009787554,0.096337890625,0.9744438007473946,-0.019215161981992423,1.6244604587554932,-0.19188635051250458,-11.232124075293541,,
112,0.01541248,229376,0.2,1546,0.0003,148,1110,0.01836315881810151,0.0102814045,0.115185546875,0.9775452520698309,-0.017911671701585873,1.629780650138855,-0.20180830359458923,-11.250558996200562,,
113,0.01537152,231424,0.2,1547,0.0003,149,1120,0.0210792695696,0.009102145,0.10185546875,0.9742423631250858,-0.016473182819026988,1.6351174116134644,-0.16264081001281738,-11.267917513847351,,
114,0.01533056,233472,0.2,1547,0.0003,150,1130,0.021119818152510562,0.008091202,0.067578125,0.9740765299648046,-0.014033287488564384,1.6371269226074219,-0.1852491945028305,-11.277189683914184,,
115,0.0152896,235520,0.2,1546,0.0003,152,1140,0.0194120132480748,0.010031277,0.09716796875,0.9750038161873817,-0.015185517887584866,1.6385358572006226,-0.18817339837551117,-11.285685381293296,,
116,0.01524864,237568,0.2,1547,0.0003,153,1150,0.015416765652480536,0.011745997,0.13681640625,0.9812795575708151,-0.019530995146487838,1.6399606466293335,-0.18347781896591187,-11.300107675790787,,
117,0.015207680000000001,239616,0.2,1548,0.0003,154,1160,0.02247001350915525,0.010016214,0.1138671875,0.9709229189902544,-0.016958999590133316,1.651531457901001,-0.21717886626720428,-11.317786887288094,,
,0.01520016,240000,0.2,,0.0003,,1170,0.02109069608268328,0.00899162,0.09521484375,0.97515600733459,-0.016337148594902828,1.651552677154541,-0.18519024550914764,-11.330569127202034,41.0,-3.2276490345597266
118,0.015166720000000002,241664,0.2,1546,0.0003,156,,,,,,,,,,,
119,0.01512576,243712,0.2,1546,0.0003,157,1180,0.018869378662202507,0.010200132,0.11025390625,0.9776116386055946,-0.018503149674506857,1.6533620357513428,-0.17953450977802277,-11.334817346930503,,
120,0.015084799999999999,245760,0.2,1547,0.0003,158,1190,0.01629723242513137,0.009342674,0.10625,0.9762557223439217,-0.015938084191293455,1.6596293449401855,-0.19995510578155518,-11.34887299835682,,
121,0.01504384,247808,0.2,1548,0.0003,160,1200,0.020976058757514692,0.010882873,0.133251953125,0.9739452432841063,-0.02006579641456483,1.660481333732605,-0.2016325145959854,-11.351873445510865,,
122,0.01500288,249856,0.2,1549,0.0003,161,1210,0.021970390278147532,0.009637738,0.095751953125,0.9731745719909668,-0.014148727327119559,1.665549635887146,-0.16636912524700165,-11.35957716703415,,
123,0.01496192,251904,0.2,1549,0.0003,162,1220,0.020790598602616228,0.0100156125,0.108203125,0.9751786272972822,-0.017775700362108182,1.673291563987732,-0.18261907994747162,-11.3765939027071,,
124,0.01492096,253952,0.2,1549,0.0003,163,1230,0.01514794421964325,0.010680736,0.11171875,0.9811356142163277,-0.018470208620419724,1.676701545715332,-0.21401503682136536,-11.387167277932168,,
125,0.01488,256000,0.2,1550,0.0003,165,1240,0.018236644932767377,0.011100151,0.127099609375,0.9778947290033102,-0.018135499888740015,1.688593864440918,-0.19386033713817596,-11.416150641441345,,
126,0.014839040000000001,258048,0.2,1551,0.0003,166,1250,0.016195038339355962,0.010752949,0.1216796875,0.9769489448517561,-0.01803576083329972,1.6927995681762695,-0.19873270392417908,-11.442482846975327,,
