train/clip_range,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_coef,train/learning_rate,time/iterations,train/clip_fraction,train/approx_kl,train/loss,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/n_updates,train/std,train/explained_variance,eval/mean_ep_length,eval/mean_reward
0.2,1410,135168,95,0.017296640000000002,0.0003,66,0.085595703125,0.00860473,-0.2184145152568817,-0.011684577344567515,-10.850629249215126,0.01020983605994843,650,1.4878052473068237,0.6389321088790894,,
0.2,1413,137216,97,0.01725568,0.0003,67,0.11650390625,0.008387551,-0.2160423994064331,-0.014282580063445493,-10.87740317583084,0.005112830021244008,660,1.484126091003418,0.8665266633033752,,
0.2,1416,139264,98,0.01721472,0.0003,68,0.107568359375,0.009575101,-0.18792158365249634,-0.012500938602897804,-10.878076735138894,0.029579934642242733,670,1.4886417388916016,0.7940004467964172,,
0.2,1419,141312,99,0.01717376,0.0003,69,0.070703125,0.007332891,-0.19384747743606567,-0.010718531371094287,-10.89938188791275,0.006981867130525643,680,1.4945189952850342,0.710080087184906,,
0.2,1423,143360,100,0.0171328,0.0003,70,0.11513671875,0.010520145,-0.2009415477514267,-0.011956493549223523,-10.92615386247635,0.009235225971497129,690,1.5009334087371826,0.8001275509595871,,
0.2,1426,145408,101,0.01709184,0.0003,71,0.0890625,0.008524158,-0.20221178233623505,-0.013911292323609815,-10.956015890836715,0.005883457060554065,700,1.5108788013458252,0.8716290295124054,,
0.2,1429,147456,103,0.01705088,0.0003,72,0.12783203125,0.011860184,-0.2020128071308136,-0.012393086112570017,-10.987989756464959,0.05049140020419145,710,1.5185579061508179,0.7439779341220856,,
0.2,1433,149504,104,0.01700992,0.0003,73,0.087451171875,0.008672938,-0.20101377367973328,-0.011880094630760141,-11.019684606790543,0.008976382543914951,720,1.525681495666504,0.7382897734642029,,
0.2,1436,151552,105,0.01696896,0.0003,74,0.0953125,0.009650877,-0.22323526442050934,-0.013131576450541615,-11.073844343423843,0.006204414054082008,730,1.5439558029174805,0.60553377866745,,
0.2,1439,153600,106,0.016928000000000002,0.0003,75,0.12548828125,0.010842944,-0.20739255845546722,-0.014768420992186292,-11.137961494922639,0.00440060714900028,740,1.5609925985336304,0.8392820954322815,,
0.2,1443,155648,107,0.01688704,0.0003,76,0.082080078125,0.008396972,-0.17660532891750336,-0.011008385484456085,-11.178811225295068,0.007218933979311259,750,1.5654733180999756,0.8471342921257019,,
0.2,1446,157696,109,0.01684608,0.0003,77,0.11240234375,0.010665562,-0.21190784871578217,-0.014897186312009581,-11.22424253821373,0.009379478948540054,760,1.5817351341247559,0.7588532418012619,,
0.2,1449,159744,110,0.01680512,0.0003,78,0.105517578125,0.010597658,-0.17789201438426971,-0.012787863836274482,-11.276678329706192,0.007733676625502994,770,1.5932458639144897,0.6748828887939453,,
0.2,,160000,,0.01680016,0.0003,,0.115087890625,0.009842589,-0.20799104869365692,-0.013472016336163507,-11.304160064458847,0.004679882874188479,780,1.6000969409942627,0.8873875811696053,1000.0,-44.98878053573426
0.2,1382,161792,117,0.01676416,0.0003,79,,,,,,,,,,,
0.2,1385,163840,118,0.0167232,0.0003,80,0.101220703125,0.010269081,-0.19518493115901947,-0.012024791070143693,-11.323618590831757,0.008975363285571802,790,1.6032068729400635,0.9099050089716911,,
0.2,1389,165888,119,0.01668224,0.0003,81,0.110498046875,0.011351759,-0.23259304463863373,-0.01496502349182265,-11.36752571463585,0.008498027650057338,800,1.6204484701156616,0.8767891079187393,,
0.2,1392,167936,120,0.01664128,0.0003,82,0.09208984375,0.010070308,-0.20976023375988007,-0.01241361303254962,-11.417254495620728,0.004926840792177245,810,1.629400610923767,0.789259597659111,,
0.2,1395,169984,121,0.016600320000000002,0.0003,83,0.12060546875,0.0119702285,-0.21155190467834473,-0.01564779440232087,-11.477978470921517,0.004579669828672195,820,1.6536455154418945,0.8824611976742744,,
